horse_name,section,show_class,show,rider,place,entries,points
Horse: Elocia        #20718   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #8,Patricia Casey,9,20,0
Horse: Elsie        #21665   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S (California Split)",World Equestrian Ocala Winter Spectacular #11,Shannon M. Dickinson,6,19,3
Horse: Elusive        #18882   ,WEC 3'/National Derby - Open,$15000 WEC Derby 3' - Non Pro,World Equestrian Ocala Winter Spectacular #4,Kyle Winters,5,20,4
Horse: Elusive        #17630   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #1,Aaron Vale,1,30,10
Horse: Elysse De Nabab        #18615   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Gabrielle Adams,6,14,3
Horse: Elytis du Manoir        #22325   ,Children's Jumper,$200 Childrens Jumper 1.10m 2.2b,World Equestrian Center Winter Classic #17,Olivia Combs,1,4,8
Horse: Embassy        #20555   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6""",World Equestrian Ocala Winter Spectacular #8,Abigail Best,10,10,0
Horse: Ember Waves        #21664   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S (California Split)",World Equestrian Ocala Winter Spectacular #11,Delaney Yu,6,19,3
Horse: Embrace        #18554   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Kristen Cox,6,50,3
Horse: Emenem        #15655   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #6,Laina Grenyer,9,16,0
Horse: Emerald City        #19726   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #6,Marissa Dolan,3,27,6
Horse: Emerald City        #18847   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #4,,2,14,7
Horse: Emerald Coast        #18476   ,Adult Hunter 36 and over,$200 Adult Amateur 36-49,World Equestrian Ocala Winter Spectacular #3,Nicolle Benscoter,5,5,4
Horse: Emeraldo        #17463   ,1.20m Jumper,$500 1.20 Meter 340.c,World Equestrian Ocala Winter Spectacular #2,Hannah Matts,10,36,0
Horse: Emil Du Coeur D'or Z        #20729   ,Low Jr/AO Jumper,$400 Low Jr/Amateur Owner Jumper 1.20m/1.25m 2.2,World Equestrian Center Winter Classic #19,Melissa M. Lesch,4,8,5
Horse: Emilia        #13980   ,"Green Hunter 3'9""",$700 Green 3'9/High Performance Hunter,World Equestrian Ocala Winter Spectacular #1,Lauren Schone,2,4,7
Horse: Emilio        #18819   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #4,Ava Berman,5,11,4
Horse: Emilio        #16914   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #3,Allison L. McBreen,1,10,10
Horse: Emir        #17712   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #8,Bailey Petty,8,24,1
Horse: Empeccable        #12234   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #11,Melissa Kowalchik,10,25,0
Horse: Empire's Sun        #18473   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #3,Ava Roof,4,6,5
Horse: Empress        #10771   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #6,Wyette Felton,4,27,5
Horse: Emy        #18142   ,Children's Jumper,$2500 Childrens Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #2,Larah Darden,4,11,5
Horse: EN PLUS DU GIVRE        #16530   ,"Green Hunter 3'3""","$200 Green Hunter 3'3""(Incentive Score)",World Equestrian Center Winter Classic #17,Jennifer Murray,3,3,6
Horse: En Vogue        #20005   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #7,Julie Baum,1,12,8
Horse: Enchanted RW        #18479   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #6,Kayla Pleva,6,21,3
Horse: Encore        #20404   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #7,Reagan Habeeb,2,14,7
Horse: Encore        #19716   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Naomi Gillen,7,28,2
Horse: Encore B        #15707   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #6,Chloe Shea,6,12,3
Horse: Endless Options        #18890   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #4,Hannah Serfass,7,18,2
Horse: Endro        #18714   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #3,emily boada,4,77,5
Horse: Enee D'Â?helby        #18842   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (first round,World Equestrian Ocala Winter Spectacular #8,Maddox Rhodes,6,26,3
Horse: Enero        #13981   ,1.20m Jumper,$500 1.20 Meter 339.a,World Equestrian Ocala Winter Spectacular #2,Christopher Underhill,2,46,7
Horse: Enfatuation        #18905   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #4,Kiera H. Wilson,8,15,1
Horse: Enigma        #17359   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #1,Mia E. Williams,2,19,7
Horse: Enjoy the Magic        #10776   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #7,Emily Bylund,5,34,4
Horse: Ennebel Van Het Posthuijs        #18679   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO Jumper 1.30-1.35 340.c,World Equestrian Ocala Winter Spectacular #3,Brooke Peterson,3,19,6
Horse: Enough Already        #18610   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Chantil Ruud,6,33,3
Horse: Ensor Van Het Moleneind        #14006   ,Low Jr/AO Jumper,$5000 Low Jr/Am/Am Own Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #7,Elizabeth M. Brock,10,47,0
Horse: Entertainer V        #19852   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #6,Declan Egan,6,39,3
Horse: Entheos        #19370   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #5,Gonzalo Guevara,5,71,4
Horse: Enticement's Dailey Love        #20855   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #8,Summer Chestnut,5,14,4
Horse: Entourage        #22559   ,Intermediate Adult Hunter,"Intermediate Adult Hunter 2'6""",World Equestrian Center Winter Classic #19,Laura Joelsson,2,24,7
Horse: Entourage        #22579   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" (California Split)",World Equestrian Center Winter Classic #19,Lindsay N. Yinger,7,35,2
Horse: Entrepreneur        #17226   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #1,Peggy Fuller,5,6,4
Horse: Envol De Riverland        #19113   ,"Performance Hunter 3'6""","$150 Performance Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #5,Rowan Willis,6,6,3
Horse: Envy        #12625   ,Large Pony Hunter,"$300 Large Pony Hunter 2'9""",World Equestrian Ocala Winter Spectacular #2,Caroline Mirts,4,4,5
Horse: Enzo        #20735   ,1.30m Jumper,$1000 1.30 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #12,Kirk Webby,7,9,2
Horse: Enzo Ferrari        #16584   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #8,Eva Froio,5,9,4
Horse: Epic        #22212   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #12,Islay Smith,4,20,5
Horse: Epic        #18456   ,Large Green Pony Hunter,Green Pony Hunter Model,World Equestrian Ocala Winter Spectacular #3,Brooke Rubio,1,6,8
Horse: Equifit Captain Z        #19005   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO Jumper 1.30-1.35 339.a,World Equestrian Ocala Winter Spectacular #6,Haleigh Landrigan,7,17,2
Horse: Equiniki        #19381   ,Adult Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #5,Abigail Perry,7,29,2
Horse: Equinox        #18454   ,"Small Junior Hunter 3'6""","$400 Small Junior Hunter 3'6""",World Equestrian Ocala Winter Spectacular #3,Shelby Davis,1,3,8
Horse: Equity du Murier        #18702   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #3,Dustin Durham,2,4,7
Horse: Erato M        #21194   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #9,Carlo Graziani,6,23,3
Horse: Ernesto M        #18087   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #6,Amy Hughes,6,24,3
Horse: Eros        #10783   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Emily J. Lefler,9,21,0
Horse: Erosmith        #17882   ,Adult Hunter 18-35,$200 Adult Hunter 18-35 (1st round Classic),World Equestrian Ocala Winter Spectacular #2,Annie Walsh,6,26,3
Horse: ERP van www.olland.biz        #15617   ,1.40m Jumper,$1500 1.40 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #4,Katia Manuel-Adams,1,12,10
Horse: Erwin F        #17968   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #7,Patrick Miller,6,16,3
Horse: Es Stylin        #21594   ,"Young Hunter 2'9""-3'-3'3""",Young Hunter,World Equestrian Ocala Winter Spectacular #11,Sophia Deel,8,11,1
Horse: EscalÃ³n Z        #20201   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #7,Cayla Mackey,11,21,0
Horse: Escape        #19306   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #5,Paige Dugan,4,20,5
Horse: Escortgirl Berence        #18145   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.20m 339.a,World Equestrian Ocala Winter Spectacular #2,Melissa F. Rudershausen,12,44,0
Horse: Esh Corofino's Legacy        #17791   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #2,Patrick Miller,5,28,4
Horse: ESH Cougar Des Forets        #22350   ,1.20m Jumper,$500 1.20 Meter Jumper 2.2b,World Equestrian Center Winter Classic #17,Prima Bonaventura,5,6,4
Horse: ESH Hennessy Do casal        #18171   ,1.25m Jumper,$600 1.25 Meter Jumper 339.cb,World Equestrian Ocala Winter Spectacular #2,Patrick Miller,2,5,7
Horse: Esh Shake And Bake        #18277   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #6,Kailyn Spitzer,4,22,5
Horse: ESH Stranger Things        #20265   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #8,Patrick Miller,8,56,1
Horse: Esh Take The Plunge        #19579   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #6,Aubrianna Clark,5,20,4
Horse: Esmee        #17021   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #1,Sharn L. Wordley,5,30,4
Horse: Esperanza Mia        #21296   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #9,Katalena Prusso,7,12,2
Horse: Esperanza Mia        #21813   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #11,Katalena Prusso,1,13,10
Horse: Esperanza Mia        #18943   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #5,Stefano Baruzzo,3,63,6
Horse: Esperanza Mia        #21526   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #10,Katalena Prusso,3,9,6
Horse: Esperanza Mia        #22154   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 340.c,World Equestrian Ocala Winter Spectacular #12,Katalena Prusso,5,11,4
Horse: Esperanza Mia        #20991   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 340.c,World Equestrian Ocala Winter Spectacular #8,Hannah Steele,2,18,7
Horse: Espoir Burggraaf        #12559   ,Low Adult Jumper,Low Adult Jumper 1.00m 2.2b,World Equestrian Center Winter Classic #18,Sandra G. Crabtree,5,17,4
Horse: Essince W        #14030   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #6,David Q. Beisel,8,37,1
Horse: Estrella        #10792   ,Low Children's Jumper,Low Children's Jumper 1.00m,World Equestrian Center Summer III,Avery Ehrhardt,5,15,4
Horse: Ete Indien Kalone        #19526   ,"Green Hunter 3'6""","$600 Green Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #8,Derek Wolfe,7,9,2
Horse: Eternal Optimist        #20661   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #8,Payten Conn,4,19,5
Horse: Ethos        #22118   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #12,Eliza Hay,5,14,4
Horse: Etiquette        #14976   ,"Green Hunter 3'3""","$200 Green Hunter 3'3""(Incentive Score)",World Equestrian Center Winter Classic #18,Holly A. Kalso,3,8,6
Horse: Etiquette El dorado        #19422   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #5,Roberto Daza,8,32,1
Horse: Eton Royal 1916        #19446   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Guy Hodgson,7,24,2
Horse: Euphoria        #18534   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #3,Stefano Baruzzo,7,22,2
Horse: Euphoria        #19243   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Stefano Baruzzo,6,15,3
Horse: Euphoria        #20437   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #7,Stefano Baruzzo,8,32,1
Horse: Euphoria        #18874   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #4,Stefano Baruzzo,2,20,7
Horse: Euporie        #21151   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #9,Miriam Thomas-maloney,2,7,7
Horse: Euro Boy        #10798   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Shane Powell,7,43,2
Horse: Evan de Velroux        #19300   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #5,Mary Katheri Mitz,8,14,1
Horse: Evanesco        #15176   ,"Amateur Owner Hunter 3'3"" 18-35","$300 A/O Hunter 3'3"" 18-35 Years (1st round clas",World Equestrian Ocala Winter Spectacular #2,Meredith Frank,6,9,3
Horse: Evangeline        #19099   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #5,Jeff J. Gogul,3,26,6
Horse: Evanston        #17300   ,Children's Hunter 15-17,$100 Children's Hunter 15-17 U/S,World Equestrian Ocala Winter Spectacular #8,Audrey Flattich,1,19,10
Horse: Even So        #10799   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #10,Laura A. Hauser,1,9,8
Horse: Even Steven        #19097   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #5,Margaret M. Russell,1,26,10
Horse: Evening Star        #17473   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #3,Christopher Underhill,9,44,0
Horse: Ever After        #22304   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" U/S (California Split)",World Equestrian Center Winter Classic #17,Melissa P. Donnelly,6,20,3
Horse: Ever So Clever        #19116   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #5,Isaac Leffkowitz,7,18,2
Horse: Ever So Fancee        #14448   ,Large Pony Hunter,"$300 Large Pony Handy Hunter 2'9""",World Equestrian Center Winter Classic #17,Ellie J. Clarke,1,5,8
Horse: Everest        #19670   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6"" 18-35 Yrs",World Equestrian Ocala Winter Spectacular #6,Aidyn Gallaher,7,8,2
Horse: Everest        #17837   ,"Amateur Owner Hunter 3'6"" 18-35","$150 A/O Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #3,Aidyn Gallaher,8,8,1
Horse: Everest        #16739   ,USHJA 3' Hunter,USHJA Hunter 3',World Equestrian Center Winter Classic #12,Elizabeth A. Horvath Palmer,8,26,1
Horse: Everest        #18805   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6"" (1st round Class",World Equestrian Ocala Winter Spectacular #4,Aidyn Gallaher,5,8,4
Horse: Everest        #21489   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6"" 18-35 Yrs",World Equestrian Ocala Winter Spectacular #10,Aidyn Gallaher,5,5,4
Horse: Everest        #20867   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6""",World Equestrian Ocala Winter Spectacular #8,Aidyn Gallaher,2,10,7
Horse: Everest        #21595   ,"Amateur Owner Hunter 3'6"" 18-35","$400 Amateur Owner Hunter 3'6""",World Equestrian Ocala Winter Spectacular #11,Aidyn Gallaher,7,7,2
Horse: Evermore        #17682   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #1,Donald M. Sheehan,6,17,3
Horse: Evermore        #15938   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #5,Melissa Guenther,6,29,3
Horse: Everse W        #19021   ,1.35m Jumper,$1000 1.35 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #4,Justine L. Dutton,5,19,4
Horse: Everyday Hero        #14086   ,Open Jumper by Points,$5000 Welcome Stake 1.35m 2.2b,World Equestrian Center Winter Classic #17,Heren R. Lee,6,13,3
Horse: Everything is Gucci        #18841   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #5,Vick Russell,4,8,5
Horse: Everytime Anywhere B        #17442   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #10,Kate R. Mulligan,8,9,1
Horse: Eviento        #17969   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #2,Evie Johnson,8,18,1
Horse: Evita Car        #17662   ,Low Jr/AO Jumper,$1000 Low Jr/Am/Am Own 1.20m 339.a,World Equestrian Ocala Winter Spectacular #1,Fernando Cardenas,8,21,1
Horse: Evoir D        #12756   ,Low Adult Jumper,Low Adult Jumper 1.00m,World Equestrian Center Summer III,Sandra Jones,5,15,4
Horse: Evolene de Carles        #17494   ,1.20m Jumper,$500 1.20 Meter Jumper - 340.c,World Equestrian Ocala Winter Spectacular #3,Vicente Guillen,6,30,3
Horse: Ewsz Elvie        #19537   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #12,Anna Williams,2,41,7
Horse: EWSZ Eminence        #18602   ,Novice Children's/Adult Jumper,$500 Novice Child's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #3,Audrey Weeks,8,14,1
Horse: EWSZ Prince Lux        #18581   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (1st round c,World Equestrian Ocala Winter Spectacular #5,Lauren Carpenter,12,22,0
Horse: Exactly        #14444   ,"Green Hunter 3'6""","$600 Green Hunter 3'6""",World Equestrian Ocala Winter Spectacular #3,Tommi A. Clark,4,5,5
